Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus
11/18/2021,Simpson County,MS,41,10918,48,50.5,74.1,98.3,46.9,12485
11/18/2021,Orleans Parish,LA,62.9,245457,72.7,74.1,87.4,96.7,72,279103
11/18/2021,Tishomingo County,MS,35.9,6950,41.5,44.2,70.6,98.3,41.4,8006
11/18/2021,Franklin County,PA,46.8,72503,54.6,57,84.5,94.5,54.8,84505
11/18/2021,Monroe County,NY,65.7,487566,76,77.3,90.7,97.6,70.6,515202
11/18/2021,Washington County,TN,54.6,70598,62.2,64.1,89.3,97.9,61.5,79003
11/18/2021,Cuming County,NE,48.3,4270,57.2,59.8,67,89.8,0,
11/18/2021,Muskegon County,MI,50.7,87914,59.6,62,86.8,97.7,52.5,91187
11/18/2021,Beaver County,PA,50.1,82113,57.3,58.9,59.4,94.5,62,101014
11/18/2021,Rabun County,GA,27.6,4722,30.7,31.4,41.2,58.3,30,5131
11/18/2021,Preble County,OH,39.5,16135,45.8,49.1,78,98.6,42.6,17363
11/18/2021,Guanica Municipio,PR,63.9,9823,71.5,71.2,85.3,95.8,71.3,10882
11/18/2021,Juab County,UT,32.6,3914,42,46.3,80.3,97.5,38.9,4670
11/18/2021,Montgomery County,NY,61.1,30085,72,74.9,99.2,97.6,65.8,32255
11/18/2021,Pulaski County,MO,56.1,29515,66.2,67.3,82.4,91.2,66.2,34645
11/18/2021,Imperial County,CA,71.3,129158,88.1,87.7,86.6,97.4,89.2,158774
11/18/2021,Bennington County,VT,38.6,13707,43.8,44,55.8,73.7,45.4,15743
11/18/2021,Edwards County,KS,44.2,1238,52,55,79.9,93.6,47.8,1337
11/18/2021,Madison County,MO,35.6,4298,41.8,44.5,66.2,91.2,40.9,4929
11/18/2021,Granite County,MT,34.5,1167,38,39.5,47.1,95.7,38.7,1305
11/18/2021,St. Lucie County,FL,53.2,174606,60.9,62.5,79.7,98.7,61.6,201299
11/18/2021,Colonial Heights city,VA,36,6255,42.8,45,61.9,82.2,41.1,7124
11/18/2021,Knox County,NE,45.6,3800,54.2,57.7,64.4,89.8,0,
